addressWithZip,statusText,detailUrl,price,zpid,beds,baths,area,latitude,longitude,city,yearBuilt,daysOnZillow,hiResImageLink,homeType,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,school name,rating,rating,level,link,size,distance,travel_time
"13010 Clarksburg Square Rd, Clarksburg, MD 20871",Townhouse for sale,https://www.zillow.com/homedetails/13010-Clarksburg-Square-Rd-Clarksburg-MD-20871/62873686_zpid/,449900,62873686,4,3,2630,39.24425,-77.273266,Clarksburg,2005,12,https://photos.zillowstatic.com/p_f/IS2n2chtqohu8z0000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,15.191,1275
"13072 Martz St, Clarksburg, MD",New construction,https://www.zillow.com/homedetails/13072-Martz-St-Clarksburg-MD-20871/249693785_zpid/,465395,249693785,3,3,2000,39.2429,-77.2714,Clarksburg,2019,15,https://photos.zillowstatic.com/p_f/ISu0saddpnkdxy0000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.194,1082
"13076 Martz St, Clarksburg, MD",New construction,https://www.zillow.com/homedetails/13076-Martz-St-Clarksburg-MD-20871/249693787_zpid/,498880,249693787,4,4,2500,39.2429,-77.2714,Clarksburg,2019,15,https://photos.zillowstatic.com/p_f/ISyzteal3ux1s81000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.194,1082
"13011 Martz St, Clarksburg, MD",New construction,https://www.zillow.com/homedetails/13011-Martz-St-SHH77K-Clarksburg-MD-20871/2084542985_zpid/,447871,2084542985,3,5,1845,39.243665,-77.27719,Clarksburg,2019,21,https://photos.zillowstatic.com/p_f/ISmq6xlyeoj85c0000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.194,1082
"13013 Martz St, Clarksburg, MD",New construction,https://www.zillow.com/homedetails/13013-Martz-St-DT2WZJ-Clarksburg-MD-20871/2084542987_zpid/,459078,2084542987,3,4,1845,39.243665,-77.27719,Clarksburg,2019,21,https://photos.zillowstatic.com/p_f/ISek4l3sagbb5c0000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.194,1082
"23020 Timber Creek Ln, Clarksburg, MD 20871",House for sale,https://www.zillow.com/homedetails/23020-Timber-Creek-Ln-Clarksburg-MD-20871/37079945_zpid/,400000,37079945,4,2,1858,39.234775,-77.267827,Clarksburg,1969,27,https://photos.zillowstatic.com/p_f/IS6qjq3dm221wp0000000000.jpg,SINGLE_FAMILY,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.627,1289
"00005 Clarks Crossing Dr, Clarksburg, MD 20871",Coming soon,https://www.zillow.com/homedetails/00005-Clarks-Crossing-Dr-Clarksburg-MD-20871/2084708249_zpid/,415000,2084708249,4,3,,39.261624,-77.287402,Clarksburg,-1,30,https://photos.zillowstatic.com/p_f/ISmy45t2leozlo0000000000.jpg,SINGLE_FAMILY,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.752,1151
"The Annapolis at Clarksburg Town Center Plan, Unknown Community",New construction,https://www.zillow.com/community/error-subdivision-name-unavailable/249693911_zpid/,459900,249693911,3,3,2000,39.242675,-77.278183,Clarksburg,2019,63,https://photos.zillowstatic.com/p_f/ISucpgp49pls6d1000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,1348.1771,10000000
"23723 Clarksmeade Dr, Clarksburg, MD 20871",Pre-foreclosure / Auction,https://www.zillow.com/homedetails/23723-Clarksmeade-Dr-Clarksburg-MD-20871/62873483_zpid/,None,62873483,4,3,1924,39.24641,-77.26851,Clarksburg,2003,104,https://photos.zillowstatic.com/p_f/ISyz1hx2hnhchg0000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,15.095,1226
"13066 Ebenezer Chapel Dr, Clarksburg, MD",New construction,https://www.zillow.com/homedetails/13066-Ebenezer-Chapel-Dr-Clarksburg-MD-20871/249693703_zpid/,477865,249693703,3,4,2000,39.242396,-77.278532,Clarksburg,2019,254,https://photos.zillowstatic.com/p_f/ISeo33sn3f4zyt1000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.524,1215
"23500 Overlook Park Dr, Clarksburg, MD",New construction,https://www.zillow.com/homedetails/23500-Overlook-Park-Dr-Clarksburg-MD-20871/2088445682_zpid/,459900,2088445682,3,3,2000,39.243607,-77.277473,Clarksburg,2018,306,https://photos.zillowstatic.com/p_f/IS2ne9jmc0zmyc1000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.624,1217
"13028 Ebenezer Chapel Dr, Clarksburg, MD",New construction,https://www.zillow.com/community/error-subdivision-name-unavailable/249693689_zpid/,414990,249693689,3,3,1845,39.242561,-77.278325,Clarksburg,2019,-1523846331,https://photos.zillowstatic.com/p_f/ISewle70n5weni1000000000.jpg,TOWNHOUSE,Little Bennett Elementary School,36,8,Elementary,/clarksburg-md/schools/little-bennett-elementary-school-27391/,692,Rocky Hill Middle School,29,8,Middle,/clarksburg-md/schools/rocky-hill-middle-school-24622/,1130,Clarksburg High School,47,7,High,/clarksburg-md/schools/clarksburg-high-school-27390/,2200,14.551,1221
